first_name,second_name,team,element_type,price,total_points,goals_scored,assists,clean_sheets,minutes,form,ict_index,goals_conceded,saves,bonus,selected_by_percent,points_per_game,expected_goals,expected_assists
Morgan,Rogers,2,3,7.3,169,10,8,9,3280,3.8,232.0,48,0,17,20.2,4.6,6.84,4.32
Youri,Tielemans,2,3,5.9,68,0,4,4,1857,2.2,113.1,27,0,3,0.7,2.7,1.14,3.26
Leon,Bailey,2,3,5.5,21,0,2,0,450,1.8,30.1,9,0,0,0.1,1.6,0.50,1.46
Emiliano,Buendía Stati,2,3,5.3,102,6,2,3,1753,3.8,121.4,24,0,10,0.4,2.8,3.38,2.23
Samuel,Iling-Junior,2,3,5.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Donyell,Malen,2,3,5.1,55,4,2,1,640,0.0,56.3,10,0,3,0.4,2.6,4.03,0.35
John,McGinn,2,3,5.3,103,5,4,8,2136,3.0,137.3,28,0,6,0.7,3.4,3.00,4.11
Ross,Barkley,2,3,4.8,56,3,2,1,844,4.0,58.1,15,0,5,0.1,2.7,1.58,1.26
Enzo,Barrenechea,2,3,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Lewis,Dobbin,2,3,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Boubacar,Kamara,2,3,4.9,61,1,3,5,1410,0.0,64.2,15,0,7,0.2,3.4,0.53,0.84
Amadou,Onana,2,3,4.8,76,2,0,6,1755,0.2,74.4,26,0,4,0.6,3.0,1.68,0.69
Ben,Broggio,2,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Leander,Dendoncker,2,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Jamaldeen,Jimoh-Aloba,2,3,4.5,1,0,0,0,8,0.0,0.1,0,0,0,0.1,1.0,0.00,0.00
Kadan,Young,2,3,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.5,0.0,0.00,0.00
Ollie,Watkins,2,4,8.7,167,16,4,9,2833,9.5,225.2,38,0,26,13.0,4.5,15.40,1.18
Zépiqueno,Redmond,2,4,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.3,0.0,0.00,0.00
Harvey,Elliott,2,3,5.1,5,0,0,0,110,0.0,7.4,2,0,0,0.2,1.0,0.29,0.08
Jadon,Sancho,2,3,5.8,37,0,2,2,863,0.8,61.6,10,0,0,0.2,1.6,0.61,1.87
James,Wright,2,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.6,0.0,0.00,0.00
Douglas Luiz,Soares de Paulo,2,3,4.9,35,1,1,1,913,1.0,59.1,15,0,0,0.1,1.7,0.53,1.42
Triston,Rowe,2,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Bradley,Burrowes,2,3,4.3,1,0,0,0,16,0.0,0.0,1,0,0,0.1,1.0,0.00,0.00
Sam,Proctor,2,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.6,0.0,0.00,0.00
Travis,Patterson,2,2,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Victor,Lindelöf,2,2,4.5,29,0,1,1,942,1.2,22.7,15,0,0,0.1,1.7,0.28,0.10
George,Hemmings,2,3,4.5,2,0,0,0,25,0.0,0.3,0,0,0,0.0,1.0,0.04,0.01
Ronnie,Hollingshead,2,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Leon,Routh,2,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
TJ,Carroll,2,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Alysson Edward Franco,da Rocha dos Santos,2,3,5.0,3,0,0,0,47,0.0,1.5,2,0,0,0.0,1.0,0.05,0.05
